wavelength,healthy_mean,healthy_std,healthy_median,healthy_min,healthy_max,cracked_mean,cracked_std,cracked_median,cracked_min,cracked_max,n_healthy,n_cracked,abs_mean_diff,cohens_d,fisher_score,relative_diff_pct
938.880000,0.586481,0.101932,0.573770,0.345238,1.547945,0.512098,0.120262,0.500000,0.194030,0.938776,69618,24548,0.074382,0.695076,0.222618,13.541528
941.950000,0.554046,0.098261,0.539474,0.313725,1.528090,0.488255,0.120234,0.466667,0.172840,0.898305,69618,24548,0.065791,0.629970,0.179520,12.624215
945.020000,0.546148,0.097955,0.530303,0.309859,1.512820,0.486764,0.118855,0.470588,0.183099,0.901961,69618,24548,0.059384,0.572049,0.148660,11.498377
948.100000,0.527669,0.095313,0.516129,0.297619,1.527778,0.476783,0.116936,0.454545,0.181818,0.877551,69618,24548,0.050886,0.501857,0.113775,10.132044
951.170000,0.501777,0.093921,0.486486,0.279070,1.520548,0.460235,0.115874,0.437500,0.164179,0.877551,69618,24548,0.041542,0.414974,0.077570,8.636578
954.240000,0.480892,0.091269,0.469697,0.261905,1.464789,0.446328,0.114422,0.424242,0.166667,0.875000,69618,24548,0.034564,0.353293,0.055768,7.455420
957.320000,0.455036,0.089231,0.441176,0.247059,1.486111,0.429008,0.112487,0.411765,0.164179,0.820000,69618,24548,0.026028,0.271578,0.032861,5.888331
960.400000,0.433839,0.087038,0.423077,0.224719,1.459459,0.414765,0.112252,0.400000,0.144928,0.810345,69618,24548,0.019074,0.202353,0.018033,4.495477
963.470000,0.412543,0.084904,0.400000,0.209302,1.450000,0.398389,0.112176,0.378378,0.136986,0.785714,69618,24548,0.014154,0.152541,0.010122,3.490844
966.550000,0.394077,0.084115,0.382022,0.188679,1.431818,0.385537,0.113025,0.365854,0.123457,0.777778,69618,24548,0.008540,0.092294,0.003674,2.190728
969.630000,0.373041,0.083421,0.361702,0.177419,1.470588,0.369041,0.114175,0.349515,0.117021,0.746667,69618,24548,0.004001,0.043282,0.000800,1.078183
972.710000,0.367947,0.083064,0.356436,0.171875,1.439252,0.366392,0.114498,0.346535,0.113402,0.740260,69618,24548,0.001555,0.016850,0.000121,0.423567
975.790000,0.373833,0.082942,0.363636,0.178571,1.416667,0.371482,0.113533,0.354167,0.125000,0.757143,69618,24548,0.002351,0.025582,0.000280,0.630903
978.880000,0.374480,0.082170,0.361702,0.181818,1.446808,0.373189,0.114870,0.352941,0.105882,0.764706,69618,24548,0.001291,0.014061,0.000084,0.345372
981.960000,0.371298,0.082946,0.358491,0.175439,1.437500,0.370962,0.115018,0.350877,0.113636,0.760563,69618,24548,0.000336,0.003637,0.000006,0.090542
985.050000,0.369872,0.082472,0.362637,0.166667,1.434343,0.370416,0.115581,0.352941,0.120879,0.753425,69618,24548,0.000543,-0.005888,0.000015,0.146761
988.130000,0.371114,0.083163,0.359649,0.147541,1.438775,0.371856,0.116197,0.352941,0.111111,0.753086,69618,24548,0.000742,-0.007989,0.000027,0.199826
991.220000,0.376214,0.083501,0.365385,0.181034,1.431579,0.376460,0.117032,0.356164,0.113636,0.762500,69618,24548,0.000246,-0.002636,0.000003,0.065435
994.310000,0.382502,0.084830,0.372093,0.169492,1.428572,0.381750,0.116934,0.361702,0.117647,0.776316,69618,24548,0.000752,0.007976,0.000027,0.196741
997.400000,0.390693,0.085554,0.375000,0.196262,1.431818,0.389476,0.118465,0.369565,0.120482,0.776119,69618,24548,0.001217,0.012774,0.000069,0.311869
1000.490000,0.401750,0.087309,0.390244,0.185185,1.426829,0.398609,0.118383,0.377778,0.126582,0.785714,69618,24548,0.003141,0.032591,0.000456,0.784936
1003.580000,0.420108,0.091139,0.405405,0.209302,1.700000,0.406421,0.111438,0.386364,0.166667,0.814815,69618,24548,0.013687,0.141339,0.009040,3.312037
