region,wavelength_range,n_wavelengths,healthy_mean,healthy_std,healthy_median,cracked_mean,cracked_std,cracked_median
VIS,400-700 nm,103,0.218176,0.127561,0.186091,0.137139,0.076283,0.123415
NIR,700-1000 nm,98,0.660401,0.114169,0.630412,0.450285,0.121079,0.425232
