Threshold,F1,Precision,Recall
0.01,0.2149869813439075,0.12049160575146597,0.9964570416297609
0.02,0.2876483798524222,0.1681923913859083,0.9926926483613817
0.03,0.3366962806806204,0.2028301886792453,0.9902568644818424
0.04,0.3680217696050136,0.22611206809200526,0.9882639503985828
0.05,0.39099921045705766,0.24379170769062466,0.9869353410097431
0.060000000000000005,0.40828863521753084,0.25744348730993816,0.9860496014171833
0.06999999999999999,0.42302021403091555,0.26936822339330063,0.9847209920283436
0.08,0.43437454172166007,0.27871526253058154,0.9838352524357838
0.09,0.44495688790856225,0.28758424053913945,0.9827280779450841
0.09999999999999999,0.45393120393120395,0.2952063914780293,0.9818423383525243
0.11,0.46257367899431434,0.30255885363357216,0.9818423383525243
0.12,0.46996447696304544,0.3089578250261415,0.9813994685562445
0.13,0.4759806555615261,0.31424719738895984,0.9807351638618246
0.14,0.4817637452367991,0.319402338674751,0.9798494242692648
0.15000000000000002,0.48672176308539944,0.3239694880445944,0.9780779450841453
0.16,0.4925564538611653,0.3291601460615545,0.9780779450841453
0.17,0.4976599943614322,0.33383765791663517,0.9771922054915855
0.18000000000000002,0.5027652659786761,0.3385548644705521,0.9763064658990257
0.19,0.5074007947935265,0.34288160660076283,0.9754207263064659
0.2,0.512093023255814,0.34720908230842007,0.975199291408326
0.21000000000000002,0.5159777191439461,0.3509051758513438,0.9743135518157662
0.22,0.520078064935833,0.35479706285806506,0.9736492471213464
0.23,0.52374426503009,0.35827830765468327,0.9732063773250664
0.24000000000000002,0.5274091864305014,0.36180904522613067,0.9725420726306466
0.25,0.5312916111850865,0.3655672163918041,0.9718777679362267
0.26,0.5347391516333496,0.36890346451395895,0.9714348981399469
0.27,0.5384568166472286,0.37248407643312104,0.9712134632418069
0.28,0.541398912506179,0.3754713747000343,0.9701062887511072
0.29000000000000004,0.5439054726368159,0.37815634728467656,0.9683348095659876
0.3,0.5470930596407785,0.3813137922009945,0.9678919397697077
0.31,0.549559748427673,0.38378425860857346,0.9674490699734278
0.32,0.5525966221772408,0.38678827592313825,0.9672276350752879
0.33,0.5555555555555556,0.3898017503125558,0.9665633303808681
0.34,0.5588781456105526,0.3931177371407981,0.9663418954827281
0.35000000000000003,0.5616226658081134,0.3959506083166878,0.9656775907883083
0.36000000000000004,0.5641756249190519,0.3986820428336079,0.9645704162976085
0.37,0.5676292288638289,0.4022170900692841,0.9641275465013286
0.38,0.5705296276874672,0.40521415270018624,0.9636846767050488
0.39,0.5726901278502702,0.40767498592606494,0.9621346324180691
0.4,0.5757836834780303,0.41085784545540527,0.9619131975199291
0.41000000000000003,0.5778576659343586,0.41313660161827703,0.9610274579273693
0.42000000000000004,0.5809434467971053,0.4165065334358186,0.9599202834366696
0.43,0.5826549148893225,0.4184787861215811,0.9588131089459699
0.44,0.584841934612267,0.4207814930015552,0.95859167404783
0.45,0.5872692725298588,0.42338551859099804,0.95814880425155
0.46,0.5892297205180641,0.4256450659838487,0.9570416297608503
0.47000000000000003,0.5912078882497945,0.427934179222839,0.9559344552701505
0.48000000000000004,0.5939327233954736,0.4307953298074044,0.9559344552701505
0.49,0.5962535425451027,0.4334237765048739,0.9550487156775908
0.5,0.5982644914960084,0.43573667711598746,0.954162976085031
0.51,0.6007397585316491,0.43860185468256396,0.9530558015943312
0.52,0.6026090615794641,0.44097721207144325,0.9512843224092117
0.53,0.6044970747867766,0.44338744700651433,0.9495128432240921
0.54,0.6063137032842583,0.44558884727424053,0.9484056687333924
0.55,0.6086647222024614,0.44838067288544176,0.9472984942426926
0.56,0.6111627242192524,0.45119763638282157,0.9468556244464128
0.5700000000000001,0.6129333237637264,0.45343527662737604,0.9455270150575731
0.5800000000000001,0.6146636868286353,0.45569214323890966,0.9439769707705934
