,precision,recall,f1-score,support
BACKGROUND,0.992351610470753,0.9788025288211231,0.9855305036240606,75292.0
BRANCH,0.7746565511584991,0.9221381498657555,0.841987965232895,4097.0
CRACK,0.8960907944514502,0.7867581930912312,0.8378728923476005,4516.0
PLASTIC,0.831306990881459,0.9346433148227253,0.8799517393927206,4682.0
REGULAR,0.9803628937239809,0.9973629534920888,0.9887898593780947,12514.0
accuracy,0.9681803345169682,0.9681803345169682,0.9681803345169682,0.9681803345169682
macro avg,0.8949537681372284,0.9239410280185847,0.9068265919950743,101101.0
weighted avg,0.9702880481575052,0.9681803345169682,0.9686320778069248,101101.0
