Threshold,Crack_F1,Crack_Precision,Crack_Recall
0.01,0.5278554016291099,0.36080630740469805,0.9829495128432241
0.02,0.5851557322730285,0.41753357291469645,0.9776350752878654
0.03,0.61674503473928,0.4514538169115381,0.9729849424269265
0.04,0.6399357288927842,0.4774411508282476,0.9701062887511072
0.05,0.6566917293233082,0.49715391621129323,0.9670062001771479
0.060000000000000005,0.6707204433497537,0.5140396413402548,0.9647918511957484
0.06999999999999999,0.6808911201757138,0.5272108843537415,0.9610274579273693
0.08,0.6901060352387786,0.5391802666002242,0.95837023914969
0.09,0.6991988346686089,0.5509501339114908,0.9565987599645704
0.09999999999999999,0.7082204155374887,0.5628508027672627,0.9548272807794509
0.11,0.7142381902860945,0.5719232818327118,0.9508414526129318
0.12,0.7186503273459796,0.5786699107866992,0.9479627989371124
0.13,0.7249745503902274,0.5875962596259626,0.9461913197519929
0.14,0.7296834901625321,0.594507945358238,0.9444198405668733
0.15000000000000002,0.7349054159108578,0.6024642401926072,0.9419840566873339
0.16,0.7394065953188897,0.6090010032965458,0.9408768821966342
0.17,0.7437088996054362,0.6156191029176948,0.9391054030115146
0.18000000000000002,0.7488294018906264,0.6229604586211965,0.9384410983170948
0.19,0.7530479665391119,0.6295194167534593,0.9368910540301152
0.2,0.7558618220869876,0.6342745569240013,0.9351195748449955
0.21000000000000002,0.7582051973743369,0.6383043149129447,0.933569530558016
0.22,0.7603470088559552,0.6422900763358779,0.9315766164747564
0.23,0.7636264534883721,0.6474121996303143,0.9306908768821966
0.24000000000000002,0.7658603377453218,0.6514986799192422,0.9289193976970771
0.25,0.7696830500689021,0.6577170670434919,0.9275907883082374
0.26,0.7721565731166913,0.6621279290690311,0.9260407440212578
0.27,0.775067247936184,0.6668794892258579,0.9251550044286979
0.28,0.7769180572387434,0.6709064562872323,0.9227192205491586
0.29000000000000004,0.7796610169491526,0.675482719454811,0.9218334809565988
0.3,0.780905752753978,0.6792792792792792,0.9182905225863596
0.31,0.7827485103565687,0.6831764900115569,0.9162976085031
0.32,0.784629981024668,0.6864209827357237,0.9156333038086802
0.33,0.7865789724525784,0.6905439330543933,0.9136403897254207
0.34,0.7879425837320574,0.6937984496124031,0.9116474756421612
0.35000000000000003,0.7900355871886121,0.6983506206427478,0.9094331266607617
0.36000000000000004,0.7906527616840479,0.701027397260274,0.9065544729849424
0.37,0.7931670387265845,0.7060653188180405,0.9047829937998229
0.38,0.7943469785575049,0.7094359331476323,0.9023472099202834
0.39,0.7962001762804818,0.713784021071115,0.900132860938884
0.4,0.7988200589970501,0.7184294304916873,0.8994685562444641
0.41000000000000003,0.7994076999012834,0.7212326327039544,0.8965899025686448
0.42000000000000004,0.8008335814230426,0.7255889228556015,0.8934898139946855
0.43,0.8026276500447895,0.7289821008859158,0.8928255093002657
0.44,0.8038,0.7328592268417213,0.8899468556244464
0.45,0.8051400461801024,0.736455463728191,0.8879539415411869
0.46,0.8061718434852764,0.7401851851851852,0.8850752878653676
0.47000000000000003,0.8071984632494187,0.7426976744186047,0.8839681133746679
0.48000000000000004,0.8077547706049533,0.7456896551724138,0.8810894596988486
0.49,0.8095820591233436,0.7500944465432565,0.879317980513729
0.5,0.8118345618345618,0.754950495049505,0.8779893711248893
0.51,0.8134826842051177,0.7589645254074784,0.8764393268379097
0.52,0.8151433876624716,0.7630359212050984,0.87488928255093
0.53,0.8174849803190387,0.7680031140521604,0.8737821080602303
0.54,0.8181157162148125,0.7704950107611035,0.8720106288751107
0.55,0.819672131147541,0.7755384311400909,0.8691319751992914
0.56,0.8208359588321781,0.780663204155014,0.8653675819309123
0.5700000000000001,0.8226112634465302,0.7853403141361257,0.8635961027457927
0.5800000000000001,0.8236165485133848,0.7886524822695036,0.8618246235606731
0.59,0.8247532109117928,0.7920489296636085,0.8602745792736936
0.6,0.8266751890912964,0.7965510162184356,0.8591674047829938
0.61,0.8281985451433461,0.8011175496688742,0.8571744906997343
0.62,0.8284087246158806,0.80463368816531,0.8536315323294952
0.63,0.8283678756476683,0.8081297388374052,0.8496457041629761
0.64,0.8284908933217693,0.8115972812234494,0.8461027457927369
0.65,0.8288543140028288,0.8147593582887701,0.8434455270150576
0.66,0.8286338797814208,0.8180837289598619,0.8394596988485385
0.67,0.8284867771315703,0.8211877311289971,0.8359167404782993
0.68,0.8284832451499118,0.824846356453029,0.8321523472099203
