,precision,recall,f1-score,support
CRACK,0.5876084639975643,0.8547387068201948,0.6964366260712674,4516.0
other,0.9930605509245547,0.9719521664854791,0.9823929844022248,96585.0
accuracy,0.9667164518649667,0.9667164518649667,0.9667164518649667,0.9667164518649667
macro avg,0.7903345074610595,0.913345436652837,0.839414805236746,101101.0
weighted avg,0.9749497347648501,0.9667164518649667,0.9696198277151238,101101.0
